	region_encoded	total_area_ghs	nres_area_ghs	res_area_ghs	avgPOP2015	sumPOP2015	boundary_area	sum_population_density	cluster
0	0	7479189.0	1005743.0	6473446.0	1792.97450802244	103992.52146530151	37652347.83374677	0.0027619133320577654	0
13	0	5435199.0	574658.0	4860541.0	1851.032702550292	88849.56972241402	29929263.30272126	0.0029686520788614113	0
16	0	3619189.0	684453.0	2934736.0	4470.370045555963	80466.66082000732	10696995.067097694	0.007522361215955905	0
30	0	4886836.0	1236950.0	3649886.0	3554.6560673867502	110194.33808898926	18413054.242014915	0.005984576846439075	0
41	0	7507789.0	1007392.0	6500397.0	559.2188556762139	87238.14148548938	99901550.83424172	0.0008732411134461398	0
46	0	4292721.0	290417.0	4002304.0	1643.4875766214202	55878.57760512829	21904510.94006206	0.0025510077699534327	0
49	0	27057559.0	3838769.0	23218790.0	2959.4921954250335	591898.4390850067	129613298.21206734	0.004566649003226271	0
52	0	7859823.0	919993.0	6939830.0	280.109254978141	54901.41397571564	125056537.81093878	0.0004390127452490003	0
63	0	6950556.0	741303.0	6209253.0	1244.2049242340856	89582.75454485416	44872562.15307517	0.0019963815357647223	0
81	0	2288170.0	303839.0	1984331.0	3064.618490072397	39840.04037094116	8895603.049715089	0.004478621645804797	0
83	0	3438867.0	323922.0	3114945.0	2938.8149230957033	58776.29846191406	13135472.158394665	0.004474623961221759	0
123	0	3451569.0	517637.0	2933932.0	2057.615712890625	51440.392822265625	15972255.063009823	0.003220609276481975	0
130	0	4153763.0	590398.0	3563365.0	2583.91551749937	80101.38104248047	19248577.64723564	0.004161418184266936	0
140	0	8739066.0	1236010.0	7503056.0	1121.615069460578	91972.4356957674	52560749.62431443	0.0017498311259476645	0
151	0	8534436.0	697022.0	7837414.0	1132.7796150207519	84958.4711265564	47052236.586814374	0.0018056202486741008	0
155	0	8137515.0	937575.0	7199940.0	576.6225874510008	55932.39098274708	61877420.73242786	0.0009039224699525139	0
166	0	6479851.0	892959.0	5586892.0	745.8421339504961	51463.10724258423	43548128.82731615	0.0011817524341092539	0
169	0	14893739.0	1973382.0	12920357.0	1162.561092947103	183684.65268564224	99631119.35745429	0.0018436473851771412	0
204	0	5880810.0	545172.0	5335638.0	383.1509619780949	42912.90774154663	71979339.68076007	0.0005961836817602421	0
220	0	5665389.0	1052074.0	4613315.0	1076.3264897329766	61350.60991477966	35665141.732459076	0.0017201841051130346	0
228	0	6440694.0	607279.0	5833415.0	711.0502356626619	50484.56673204899	46221051.11037766	0.0010922418577519989	0
262	0	15353996.0	2326328.0	13027668.0	1131.0544428359296	150430.24089717865	85734892.51931633	0.0017545976495309218	0
284	0	9527723.0	1068029.0	8459694.0	1023.6243711618276	93149.81777572632	55765167.133723274	0.0016703943081952167	0
319	0	6415818.0	701838.0	5713980.0	412.22568932763573	60597.17633116245	92502352.71170032	0.000655087947006322	0
351	1	52174652.0	3160837.0	49013815.0	586.2005970943959	865818.2819084227	1183071984.5146139	0.000731839053955493	6
352	1	5784687.0	10593.0	5774094.0	71.93153288326457	49704.689222335815	551715843.723313	9.009110357770123e-05	0
353	1	5302392.0	75667.0	5226725.0	49.17890786662438	57490.1432960839	937091113.675024	6.134957685237535e-05	6
356	1	9987128.0	567899.0	9419229.0	187.72895854214045	119207.88867425919	508034599.5253546	0.00023464521665577984	0
357	1	3926135.0	15435.0	3910700.0	177.49277056700626	44905.67095345259	198288772.6746534	0.0002264660290531554	0
358	1	4727062.0	105236.0	4621826.0	111.23037785865078	53168.12061643507	378523210.9199033	0.0001404619824692484	0
359	1	4918824.0	771310.0	4147514.0	241.67531566099188	42051.50492501259	139854506.92115325	0.0003006803702702285	0
362	1	49509424.0	1228226.0	48281198.0	7.132744125750299	516888.5685607469	54006336288.330315	9.570887493666852e-06	2
363	1	62939946.0	2651831.0	60288115.0	49.38679247644328	991983.1136818398	14676567446.693745	6.75895857314585e-05	1
364	1	7261855.0	514187.0	6747668.0	154.67689056593636	107036.40827162797	501343071.1034763	0.00021349932698987246	0
365	1	8402978.0	612919.0	7790059.0	29.101670844258212	107734.3854654439	2688849774.848172	4.006708982896867e-05	3
366	1	73697207.0	8502285.0	65194922.0	988.0571033165834	1683649.3040514581	1238243787.4857996	0.001359707451042444	6
367	1	28839111.0	444979.0	28394132.0	14.3616360951574	282823.6996219347	15476894084.074303	1.8273931325339998e-05	1
369	1	22301374.0	470370.0	21831004.0	71.21165212027135	340035.6388742957	3769264374.4910007	9.021273253622967e-05	3
370	1	8210233.0	176075.0	8034158.0	1.57013331511374	63202.57633327338	31000913953.892212	2.0387326782453844e-06	4
371	1	4407790.0	24230.0	4383560.0	21.21724371424045	54931.44397616852	2100667122.2371938	2.614952335602176e-05	3
372	1	19339798.0	745267.0	18594531.0	68.34639813836188	274615.827719938	3259469000.6176386	8.425170715472394e-05	3
374	1	8892598.0	72006.0	8820592.0	10.154034589125231	86116.36735037109	6892452861.185661	1.2494299066639838e-05	7
375	1	6806625.0	39614.0	6767011.0	9.810329308316971	57812.27061391191	4809931191.422769	1.201935502050522e-05	7
377	1	4762506.0	44313.0	4718193.0	4.204208171631437	40591.62989710152	7822676137.646876	5.18896975700592e-06	5
379	1	5343788.0	34354.0	5309434.0	124.744519458632	54014.376925587654	359312312.2622632	0.00015032709729735728	0
380	1	3032495.0	22713.0	3009782.0	220.64647161330169	45894.46609556675	174608324.68675807	0.0002628423712208453	0
382	1	8149322.0	4701.0	8144621.0	206.26714381076502	86219.66611289978	346124826.91089326	0.0002490999183225197	0
383	1	7967528.0	49175.0	7918353.0	95.54114456120301	95636.68570576422	835059043.2381685	0.00011452685469389921	6
384	1	14615406.0	225591.0	14389815.0	135.6866828240986	161602.83924350142	983914331.8510867	0.00016424482702622088	6
388	1	10498855.0	55628.0	10443227.0	44.354920799269905	84407.41428101063	1611405892.4528494	5.2381224790314854e-05	6
389	1	10950793.0	2334.0	10948459.0	33.91308898374984	124189.7318584919	3031599109.9937024	4.096509048610648e-05	3
392	1	10340089.0	45327.0	10294762.0	35.1679251146975	124142.77565488219	2903142940.356803	4.2761509924008345e-05	3
394	1	11909498.0	322575.0	11586923.0	428.17768224412924	204668.9321126938	396842717.8736881	0.0005157431972276691	0
395	1	3772900.0	55254.0	3717646.0	121.35906905975206	34101.89840579033	236392092.03763285	0.00014425989512526256	0
396	1	22606768.0	405568.0	22201200.0	301.22904580690806	357257.648326993	984433376.1812894	0.0003629068832599209	6
397	1	4043167.0	10092.0	4033075.0	210.27085146151092	39951.46177768707	166459564.44373703	0.00024000700657360292	0
398	1	36721348.0	987759.0	35733589.0	1481.15274225496	605791.4715822786	336561128.878217	0.0017999448528159688	0
400	1	2800799.0	85.0	2800714.0	177.02331638937238	42131.549300670624	195646128.04540378	0.00021534568417777794	0
407	1	6179656.0	17634.0	6162022.0	2.7271705758325675	49533.59916884692	13799963297.559492	3.5894007904794126e-06	1
409	1	71215976.0	3783527.0	67432449.0	77.96198737467809	871770.9428236504	8411740993.820289	0.00010363739723608937	5
411	1	30856836.0	232715.0	30624121.0	37.29115832311691	174746.36790212584	3621152185.50612	4.8257117886831355e-05	3
413	1	13319448.0	367141.0	12952307.0	206.57251666927388	147699.34941853082	534996382.93408114	0.0002760754168252562	0
419	1	9337371.0	11920.0	9325451.0	5.459946139679786	41440.99120016958	5751238147.969264	7.205577326823477e-06	7
420	1	7762280.0	43244.0	7719036.0	43.14464680738788	109069.66712907655	1930608245.6208775	5.6494976324935406e-05	6
429	1	5287586.0	37034.0	5250552.0	79.31266485950576	45287.531634777784	430841569.85486853	0.0001051141180504777	0
431	1	8095095.0	159107.0	7935988.0	18.14369541100526	63775.08936968349	2609903095.0688553	2.4435807402267154e-05	3
438	1	4241641.0	31106.0	4210535.0	8.94234049482258	35849.84304374373	3052251464.92205	1.1745376636147926e-05	3
441	1	10892281.0	486354.0	10405927.0	9.48530199275066	145201.0029050271	11493799937.69717	1.2632985060823906e-05	5
448	1	6365072.0	408832.0	5956240.0	128.00292030458812	76673.74926244828	458889083.7918939	0.00016708558117982996	0
455	1	9412062.0	251600.0	9160462.0	109.9294248427117	113886.88413704932	808700415.1605709	0.0001408270380502236	6
456	1	17701090.0	1355437.0	16345653.0	141.56804321427074	232737.86304426112	1255776922.7864635	0.0001853337633628713	6
458	1	5880762.0	32157.0	5848605.0	6.327616693798945	69489.88653130001	8318850104.312441	8.353304322105392e-06	5
462	1	11900761.0	321210.0	11579551.0	254.494060345497	159058.7877159356	475079200.1503456	0.00033480478131982873	0
464	1	10811199.0	3289310.0	7521889.0	11.333442962249764	99371.62789300593	6782158997.95142	1.4651916583350754e-05	7
465	1	6184264.0	89340.0	6094924.0	26.72601615926199	69674.72412719601	1983812447.5826886	3.5121628666104964e-05	3
467	1	45107278.0	3993292.0	41113986.0	109.9000589465421	795456.6266550717	5643644600.884177	0.0001409473279962472	7
469	1	3103415.0	84036.0	3019379.0	39.794351096151864	42301.395215209435	805098385.0019779	5.2541895503995465e-05	6
471	1	47352342.0	3847111.0	43505231.0	420.3351153953398	697335.9564408688	1288147311.1336112	0.0005413479890178015	6
475	1	11714264.0	266599.0	11447665.0	176.36567687194844	162961.88542968035	749922190.9576534	0.00021730505830421876	6
479	1	13020705.0	1439133.0	11581572.0	107.19048197871055	177829.0096026808	1361491898.4694285	0.00013061334393733363	6
480	1	7784321.0	214472.0	7569849.0	111.07785282987308	127295.21934303455	928194548.5029976	0.00013714282156508857	6
481	1	6950644.0	184826.0	6765818.0	387.2305778274546	139015.7774400562	289187061.89529943	0.00048071229926042493	0
482	1	20406267.0	846698.0	19559569.0	6315.48348064809	745227.0507164747	96395568.73021331	0.007730926437108075	0
483	1	13275769.0	3152782.0	10122987.0	9552.407357936952	391648.70167541504	33693256.62242116	0.011623949149955206	0
484	1	11773342.0	338016.0	11435326.0	12414.972154017858	434524.025390625	26795764.502670586	0.01621614585198039	0
485	1	19981463.0	1266904.0	18714559.0	9032.589511871338	614216.086807251	54423600.04087666	0.011285840818062817	0
486	1	6252468.0	74665.0	6177803.0	2193.0628459332956	184217.27905839682	71853735.30734435	0.002563781524654676	0
487	1	13555401.0	740411.0	12814990.0	13198.377546037946	554331.8569335938	32839079.602016002	0.01688024949699148	0
488	1	13555401.0	740411.0	12814990.0	13198.377546037946	554331.8569335938	32839079.602016002	0.01688024949699148	0
489	1	33084238.0	2183920.0	30900318.0	10571.646702943024	1141737.8439178467	88611892.88105762	0.012884702118375734	0
490	1	9950163.0	510343.0	9439820.0	12990.664296117322	376729.26458740234	23513063.10392297	0.016022126207986404	0
491	1	44281757.0	3069904.0	41211853.0	12791.303198109503	1765199.8413391113	113416755.73709665	0.015563836488418838	0
492	1	6298437.0	84345.0	6214092.0	2867.3496561149136	229387.97248919308	63685412.74446384	0.0036018919027753925	0
493	1	14701077.0	764635.0	13936442.0	6788.565890295752	393736.8216371536	46544815.580162086	0.008459305654762732	0
494	1	7273052.0	47538.0	7225514.0	389.09371352634247	142797.3928641677	299524257.5079069	0.00047674733943843626	0
495	1	14079145.0	214715.0	13864430.0	3579.938602147194	372313.6146233082	86123825.14774181	0.004323003698275358	0
496	1	24270202.0	554712.0	23715490.0	1748.253749030026	681818.9621217102	316428987.3547876	0.002154729779409365	0
497	1	10941828.0	707817.0	10234011.0	9896.434185400241	405753.8016014099	34120113.35620985	0.011891924196305838	0
498	1	17513369.0	235102.0	17278267.0	3084.1844357660602	441038.3743145466	114643853.85989934	0.003847030254700946	0
499	1	43260193.0	1880168.0	41380025.0	53.47771719135577	634031.8150207141	9327378946.339737	6.797534641492417e-05	5
500	1	27812162.0	707809.0	27104353.0	320.7620116133348	353158.9747862816	846541292.3306226	0.00041717867514057765	6
501	1	11357768.0	798036.0	10559732.0	53.02378339685519	147087.9751428763	2156264923.740542	6.821424098840232e-05	3
503	1	10519514.0	115811.0	10403703.0	118.6766999688803	90787.67547619343	618675261.6093644	0.00014674528158767298	6
504	1	11832496.0	76525.0	11755971.0	106.42486751773598	114619.58231660165	882090499.7662436	0.00012994084206436433	6
505	1	7815110.0	78402.0	7736708.0	150.80752069704522	70276.30464482307	376080010.04136664	0.00018686530197947263	0
506	1	10256934.0	517599.0	9739335.0	185.5025343133853	96461.31784296036	422474671.9922693	0.00022832449904766237	0
508	1	33875726.0	1949692.0	31926034.0	750.7838830939263	519542.447100997	556076988.7358093	0.0009342994902237003	0
509	1	6523164.0	47131.0	6476033.0	139.72857866389523	84675.51867032051	491443379.96500105	0.00017229964248648708	0
511	1	6864133.0	267525.0	6596608.0	225.3653756891795	93977.36166238785	337261543.5270606	0.00027864831750331904	0
